Pollster Name,Methodology,State,sample_size,Type of Voter,Candidate Favored,Percentage
InsiderAdvantage,Text,Pennsylvania,800,lv,Kamala Harris,47
InsiderAdvantage,Text,Pennsylvania,800,lv,Donald Trump,49
ActiVote,App Panel,NA,1000,lv,Kamala Harris,49.4
ActiVote,App Panel,NA,1000,lv,Donald Trump,50.6
ActiVote,App Panel,Arizona,400,lv,Kamala Harris,49.3
ActiVote,App Panel,Arizona,400,lv,Donald Trump,50.7
YouGov,Online Panel,NA,1414,rv,Kamala Harris,47
YouGov,Online Panel,NA,1414,rv,Donald Trump,44
YouGov,Online Panel,NA,1414,rv,Jill Stein,1
YouGov,Online Panel,NA,1414,rv,Cornel West,0
YouGov,Online Panel,NA,1230,lv,Kamala Harris,49
YouGov,Online Panel,NA,1230,lv,Donald Trump,45
YouGov,Online Panel,NA,1230,lv,Jill Stein,1
YouGov,Online Panel,NA,1230,lv,Cornel West,0
SoCal Strategies,Online Panel,Arizona,735,lv,Kamala Harris,48.7
SoCal Strategies,Online Panel,Arizona,735,lv,Donald Trump,47.8
Research Co.,Online Panel,Michigan,450,lv,Kamala Harris,51
Research Co.,Online Panel,Michigan,450,lv,Donald Trump,48
Research Co.,Online Panel,Pennsylvania,450,lv,Kamala Harris,50
Research Co.,Online Panel,Pennsylvania,450,lv,Donald Trump,49
Research Co.,Online Panel,Wisconsin,450,lv,Kamala Harris,50
Research Co.,Online Panel,Wisconsin,450,lv,Donald Trump,48
Ipsos,Probability Panel,NA,1272,a,Kamala Harris,42
Ipsos,Probability Panel,NA,1272,a,Donald Trump,38
Ipsos,Probability Panel,NA,1076,rv,Kamala Harris,46
Ipsos,Probability Panel,NA,1076,rv,Donald Trump,43
Ipsos,Probability Panel,NA,1076,lv,Kamala Harris,47
Ipsos,Probability Panel,NA,1076,lv,Donald Trump,45
Ipsos,Probability Panel,NA,1272,a,Kamala Harris,48
Ipsos,Probability Panel,NA,1272,a,Donald Trump,47
Ipsos,Probability Panel,NA,1076,rv,Kamala Harris,50
Ipsos,Probability Panel,NA,1076,rv,Donald Trump,48
Ipsos,Probability Panel,NA,1076,lv,Kamala Harris,51
Ipsos,Probability Panel,NA,1076,lv,Donald Trump,49
Quinnipiac University,Live Phone,Michigan,1007,lv,Kamala Harris,47
Quinnipiac University,Live Phone,Michigan,1007,lv,Donald Trump,50
Quinnipiac University,Live Phone,Michigan,1007,lv,Jill Stein,0
Quinnipiac University,Live Phone,Michigan,1007,lv,Chase Oliver,1
Quinnipiac University,Live Phone,Michigan,1007,lv,Cornel West,1
Quinnipiac University,Live Phone,Michigan,1007,lv,Randall A. Terry,0
Quinnipiac University,Live Phone,Michigan,1007,lv,Kamala Harris,47
Quinnipiac University,Live Phone,Michigan,1007,lv,Donald Trump,51
Quinnipiac University,Live Phone,Pennsylvania,1412,lv,Kamala Harris,49
Quinnipiac University,Live Phone,Pennsylvania,1412,lv,Donald Trump,46
Quinnipiac University,Live Phone,Pennsylvania,1412,lv,Jill Stein,1
Quinnipiac University,Live Phone,Pennsylvania,1412,lv,Chase Oliver,1
Quinnipiac University,Live Phone,Pennsylvania,1412,lv,Kamala Harris,49
Quinnipiac University,Live Phone,Pennsylvania,1412,lv,Donald Trump,47
Quinnipiac University,Live Phone,Wisconsin,1073,lv,Kamala Harris,46
Quinnipiac University,Live Phone,Wisconsin,1073,lv,Donald Trump,48
Quinnipiac University,Live Phone,Wisconsin,1073,lv,Jill Stein,1
Quinnipiac University,Live Phone,Wisconsin,1073,lv,Chase Oliver,1
Quinnipiac University,Live Phone,Wisconsin,1073,lv,Cornel West,0
Quinnipiac University,Live Phone,Wisconsin,1073,lv,Randall A. Terry,0
Quinnipiac University,Live Phone,Wisconsin,1073,lv,Claudia De La Cruz,0
Quinnipiac University,Live Phone,Wisconsin,1073,lv,Kamala Harris,47
Quinnipiac University,Live Phone,Wisconsin,1073,lv,Donald Trump,49
Redfield & Wilton Strategies,Online Panel,NA,1918,lv,Kamala Harris,48
Redfield & Wilton Strategies,Online Panel,NA,1918,lv,Donald Trump,46
Redfield & Wilton Strategies,Online Panel,NA,1918,lv,Chase Oliver,1
Redfield & Wilton Strategies,Online Panel,NA,1918,lv,Jill Stein,1
Research Co.,Online Panel,NA,1001,lv,Kamala Harris,49
Research Co.,Online Panel,NA,1001,lv,Donald Trump,45
Morning Consult,Online Panel,NA,11353,lv,Kamala Harris,51
Morning Consult,Online Panel,NA,11353,lv,Donald Trump,46
Florida Atlantic University PolCom Lab/Mainstreet Research,IVR/Online Panel/Text-to-Web,Texas,811,rv,Kamala Harris,45
Florida Atlantic University PolCom Lab/Mainstreet Research,IVR/Online Panel/Text-to-Web,Texas,811,rv,Donald Trump,50
Florida Atlantic University PolCom Lab/Mainstreet Research,IVR/Online Panel/Text-to-Web,Texas,775,lv,Kamala Harris,45
Florida Atlantic University PolCom Lab/Mainstreet Research,IVR/Online Panel/Text-to-Web,Texas,775,lv,Donald Trump,50
Arc Insights,Live Phone/Text-to-Web,Wisconsin,700,lv,Kamala Harris,47
Arc Insights,Live Phone/Text-to-Web,Wisconsin,700,lv,Donald Trump,48
The New York Times/Siena College,Live Phone,NA,3385,lv,Kamala Harris,49
The New York Times/Siena College,Live Phone,NA,3385,lv,Donald Trump,46
The New York Times/Siena College,Live Phone,NA,3385,lv,Kamala Harris,47
The New York Times/Siena College,Live Phone,NA,3385,lv,Donald Trump,44
The New York Times/Siena College,Live Phone,NA,3385,lv,Jill Stein,1
The New York Times/Siena College,Live Phone,NA,3385,lv,Chase Oliver,1
The New York Times/Siena College,Live Phone,Florida,622,lv,Kamala Harris,41
The New York Times/Siena College,Live Phone,Florida,622,lv,Donald Trump,55
The New York Times/Siena College,Live Phone,Florida,622,lv,Kamala Harris,40
The New York Times/Siena College,Live Phone,Florida,622,lv,Donald Trump,53
The New York Times/Siena College,Live Phone,Florida,622,lv,Jill Stein,0
The New York Times/Siena College,Live Phone,Florida,622,lv,Chase Oliver,0
ActiVote,App Panel,Florida,400,lv,Kamala Harris,47
ActiVote,App Panel,Florida,400,lv,Donald Trump,53
ActiVote,App Panel,North Carolina,400,lv,Kamala Harris,50.8
ActiVote,App Panel,North Carolina,400,lv,Donald Trump,49.2
Morning Consult,Online Panel,NA,10844,lv,Kamala Harris,51
Morning Consult,Online Panel,NA,10844,lv,Donald Trump,45
Suffolk University,Live Phone,Massachusetts,500,lv,Kamala Harris,61.2
Suffolk University,Live Phone,Massachusetts,500,lv,Donald Trump,32.2
Suffolk University,Live Phone,Massachusetts,500,lv,Shiva Ayyadurai,0.8
Suffolk University,Live Phone,Massachusetts,500,lv,Claudia De La Cruz,0.8
Suffolk University,Live Phone,Massachusetts,500,lv,Chase Oliver,0.2
Suffolk University,Live Phone,Massachusetts,500,lv,Jill Stein,1.2
ActiVote,App Panel,Illinois,400,lv,Kamala Harris,58.8
ActiVote,App Panel,Illinois,400,lv,Donald Trump,41.2
TIPP Insights,Online Panel,NA,997,lv,Kamala Harris,49
TIPP Insights,Online Panel,NA,997,lv,Donald Trump,46
TIPP Insights,Online Panel,NA,997,lv,Kamala Harris,48
TIPP Insights,Online Panel,NA,997,lv,Donald Trump,45
TIPP Insights,Online Panel,NA,997,lv,Robert F. Kennedy,2
